id,title,price,rating,in_stock,category,scraped_at
56,Foundation (Foundation (Publication Order) #1),32.42,1,1,Science_Fiction,2026-03-07 11:52:31.865293
57,The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),10.92,1,1,Science_Fiction,2026-03-07 11:52:31.865552
58,Ready Player One,19.07,4,1,Science_Fiction,2026-03-07 11:52:31.865810
59,"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",33.26,2,1,Science_Fiction,2026-03-07 11:52:31.866103
60,Dune (Dune #1),54.86,1,1,Science_Fiction,2026-03-07 11:52:31.866379
61,Do Androids Dream of Electric Sheep? (Blade Runner #1),51.48,1,1,Science_Fiction,2026-03-07 11:52:31.866638
62,Three Wishes (River of Time: California #1),44.18,2,1,Science_Fiction,2026-03-07 11:52:31.866898
63,The Last Girl (The Dominion Trilogy #1),36.26,2,1,Science_Fiction,2026-03-07 11:52:31.867161
64,Having the Barbarian's Baby (Ice Planet Barbarians #7.5),34.96,4,1,Science_Fiction,2026-03-07 11:52:31.867421
65,Sapiens: A Brief History of Humankind,54.23,5,1,History,2026-03-07 11:52:32.495929
66,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1,1,History,2026-03-07 11:52:32.498833
67,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,1,1,History,2026-03-07 11:52:32.499175
68,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,2,1,History,2026-03-07 11:52:32.499475
69,Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,1,1,History,2026-03-07 11:52:32.499762
70,Zealot: The Life and Times of Jesus of Nazareth,24.7,3,1,History,2026-03-07 11:52:32.500078
71,A Distant Mirror: The Calamitous 14th Century,14.58,3,1,History,2026-03-07 11:52:32.500367
72,1491: New Revelations of the Americas Before Columbus,21.8,3,1,History,2026-03-07 11:52:32.500651
73,Brilliant Beacons: A History of the American Lighthouse,11.45,3,1,History,2026-03-07 11:52:32.500969
74,"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",44.48,5,1,History,2026-03-07 11:52:32.501261
75,A Short History of Nearly Everything,52.4,5,1,History,2026-03-07 11:52:32.501571
76,The Rise and Fall of the Third Reich: A History of Nazi Germany,39.67,2,1,History,2026-03-07 11:52:32.501857
77,Catherine the Great: Portrait of a Woman,58.55,4,1,History,2026-03-07 11:52:32.502179
78,The Mathews Men: Seven Brothers and the War Against Hitler's U-boats,42.91,5,1,History,2026-03-07 11:52:32.502541
79,The Hiding Place,55.91,4,1,History,2026-03-07 11:52:32.503021
80,America's War for the Greater Middle East: A Military History,51.22,2,1,History,2026-03-07 11:52:32.503535
81,The Guns of August,14.54,2,1,History,2026-03-07 11:52:32.503895
82,"House of Lost Worlds: Dinosaurs, Dynasties, and the Story of Life on Earth",43.7,2,1,History,2026-03-07 11:52:32.504215
83,Birdsong: A Story in Pictures,54.64,3,1,Childrens,2026-03-07 11:52:33.326880
84,The Bear and the Piano,36.89,1,1,Childrens,2026-03-07 11:52:33.329555
85,The Secret of Dreadwillow Carse,56.13,1,1,Childrens,2026-03-07 11:52:33.329852
86,The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,58.08,4,1,Childrens,2026-03-07 11:52:33.330114
87,Little Red,13.47,3,1,Childrens,2026-03-07 11:52:33.330374
88,Walt Disney's Alice in Wonderland,12.96,5,1,Childrens,2026-03-07 11:52:33.330636
89,Twenty Yawns,22.08,2,1,Childrens,2026-03-07 11:52:33.330902
90,Rain Fish,23.57,3,1,Childrens,2026-03-07 11:52:33.331162
91,Once Was a Time,18.28,2,1,Childrens,2026-03-07 11:52:33.331421
92,Luis Paints the World,53.95,3,1,Childrens,2026-03-07 11:52:33.331680
93,Nap-a-Roo,25.08,1,1,Childrens,2026-03-07 11:52:33.331939
94,The Whale,35.96,4,1,Childrens,2026-03-07 11:52:33.332203
95,"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",52.87,3,1,Childrens,2026-03-07 11:52:33.332474
96,Raymie Nightingale,34.41,2,1,Childrens,2026-03-07 11:52:33.332738
97,Playing from the Heart,32.38,1,1,Childrens,2026-03-07 11:52:33.333002
98,Maybe Something Beautiful: How Art Transformed a Neighborhood,22.54,1,1,Childrens,2026-03-07 11:52:33.333268
99,The Wild Robot,56.07,3,1,Childrens,2026-03-07 11:52:33.333528
100,The Thing About Jellyfish,48.77,1,1,Childrens,2026-03-07 11:52:33.333786
101,The Lonely Ones,43.59,5,1,Childrens,2026-03-07 11:52:33.334046
102,The Day the Crayons Came Home (Crayons),26.33,5,1,Childrens,2026-03-07 11:52:33.334346
103,The Cat in the Hat (Beginner Books B-1),16.26,2,1,Childrens,2026-03-07 11:52:34.033304
104,Red: The True Story of Red Riding Hood,28.54,3,1,Childrens,2026-03-07 11:52:34.036335
105,Horrible Bear!,37.52,2,1,Childrens,2026-03-07 11:52:34.036713
106,Green Eggs and Ham (Beginner Books B-16),10.79,4,1,Childrens,2026-03-07 11:52:34.037014
107,Counting Thyme,10.62,1,1,Childrens,2026-03-07 11:52:34.037309
108,Are We There Yet?,10.66,3,1,Childrens,2026-03-07 11:52:34.037624
109,Diary of a Minecraft Zombie Book 1: A Scare of a Dare (An Unofficial Minecraft Book),52.88,4,1,Childrens,2026-03-07 11:52:34.037906
110,Matilda,28.34,1,1,Childrens,2026-03-07 11:52:34.038190
111,Charlie and the Chocolate Factory (Charlie Bucket #1),22.85,3,1,Childrens,2026-03-07 11:52:34.038471
112,The Book of Basketball: The NBA According to The Sports Guy,44.84,5,1,Sports_And_Games,2026-03-07 11:53:37.833690
113,"Friday Night Lights: A Town, a Team, and a Dream",51.22,3,1,Sports_And_Games,2026-03-07 11:53:37.840819
114,Sugar Rush (Offensive Line #2),24.42,1,1,Sports_And_Games,2026-03-07 11:53:37.841239
115,Settling the Score (The Summer Games #1),44.91,2,1,Sports_And_Games,2026-03-07 11:53:37.841706
116,Icing (Aces Hockey #2),40.44,4,1,Sports_And_Games,2026-03-07 11:53:37.842366
117,It's Only the Himalayas,45.17,2,1,Travel,2026-03-07 11:53:38.487899
118,Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,4,1,Travel,2026-03-07 11:53:38.490959
119,See America: A Celebration of Our National Parks & Treasured Sites,48.87,3,1,Travel,2026-03-07 11:53:38.491486
120,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,2,1,Travel,2026-03-07 11:53:38.491942
121,Under the Tuscan Sun,37.33,3,1,Travel,2026-03-07 11:53:38.492491
122,A Summer In Europe,44.34,2,1,Travel,2026-03-07 11:53:38.492965
123,The Great Railway Bazaar,30.54,1,1,Travel,2026-03-07 11:53:38.493448
124,A Year in Provence (Provence #1),56.88,4,1,Travel,2026-03-07 11:53:38.493939
125,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,1,1,Travel,2026-03-07 11:53:38.494283
126,Neither Here nor There: Travels in Europe,38.95,3,1,Travel,2026-03-07 11:53:38.494608
127,"1,000 Places to See Before You Die",26.08,5,1,Travel,2026-03-07 11:53:38.494916
128,Sharp Objects,47.82,4,1,Mystery,2026-03-07 11:53:39.178188
129,"In a Dark, Dark Wood",19.63,1,1,Mystery,2026-03-07 11:53:39.179905
130,The Past Never Ends,56.5,4,1,Mystery,2026-03-07 11:53:39.180488
131,A Murder in Time,16.64,1,1,Mystery,2026-03-07 11:53:39.181065
132,The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4,1,Mystery,2026-03-07 11:53:39.181636
133,The Last Mile (Amos Decker #2),54.21,2,1,Mystery,2026-03-07 11:53:39.182142
134,That Darkness (Gardiner and Renner #1),13.92,1,1,Mystery,2026-03-07 11:53:39.182619
135,Tastes Like Fear (DI Marnie Rome #3),10.69,1,1,Mystery,2026-03-07 11:53:39.183162
136,A Time of Torment (Charlie Parker #14),48.35,5,1,Mystery,2026-03-07 11:53:39.183701
137,A Study in Scarlet (Sherlock Holmes #1),16.73,2,1,Mystery,2026-03-07 11:53:39.184263
138,Poisonous (Max Revere Novels #3),26.8,3,1,Mystery,2026-03-07 11:53:39.184780
139,Murder at the 42nd Street Library (Raymond Ambler #1),54.36,4,1,Mystery,2026-03-07 11:53:39.185280
140,Most Wanted,35.28,3,1,Mystery,2026-03-07 11:53:39.185794
141,Hide Away (Eve Duncan #20),11.84,1,1,Mystery,2026-03-07 11:53:39.186205
142,Boar Island (Anna Pigeon #19),59.48,3,1,Mystery,2026-03-07 11:53:39.186530
143,The Widow,27.26,2,1,Mystery,2026-03-07 11:53:39.186850
144,Playing with Fire,13.71,3,1,Mystery,2026-03-07 11:53:39.187175
145,What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,5,1,Mystery,2026-03-07 11:53:39.187487
146,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5,1,Mystery,2026-03-07 11:53:39.187799
147,Delivering the Truth (Quaker Midwife Mystery #1),20.89,4,1,Mystery,2026-03-07 11:53:39.188121
148,The Mysterious Affair at Styles (Hercule Poirot #1),24.8,4,1,Mystery,2026-03-07 11:53:39.881758
149,In the Woods (Dublin Murder Squad #1),38.38,2,1,Mystery,2026-03-07 11:53:39.884706
150,The Silkworm (Cormoran Strike #2),23.05,5,1,Mystery,2026-03-07 11:53:39.885029
151,The Exiled,43.45,3,1,Mystery,2026-03-07 11:53:39.885325
152,The Cuckoo's Calling (Cormoran Strike #1),19.21,1,1,Mystery,2026-03-07 11:53:39.885608
153,Extreme Prey (Lucas Davenport #26),25.4,3,1,Mystery,2026-03-07 11:53:39.885892
154,Career of Evil (Cormoran Strike #3),24.72,2,1,Mystery,2026-03-07 11:53:39.886177
155,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,4,1,Mystery,2026-03-07 11:53:39.886460
156,The Girl You Lost,12.29,5,1,Mystery,2026-03-07 11:53:39.886744
157,The Girl In The Ice (DCI Erika Foster #1),15.85,3,1,Mystery,2026-03-07 11:53:39.887026
158,Blood Defense (Samantha Brinkman #1),20.3,3,1,Mystery,2026-03-07 11:53:39.887313
159,1st to Die (Women's Murder Club #1),53.98,1,1,Mystery,2026-03-07 11:53:39.887750
160,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,1,Science_Fiction,2026-03-07 11:53:40.705412
161,Join,35.67,5,1,Science_Fiction,2026-03-07 11:53:40.708097
162,"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,4,1,Science_Fiction,2026-03-07 11:53:40.708417
163,The Project,10.65,1,1,Science_Fiction,2026-03-07 11:53:40.708689
164,Soft Apocalypse,26.12,2,1,Science_Fiction,2026-03-07 11:53:40.708955
165,Sleeping Giants (Themis Files #1),48.74,1,1,Science_Fiction,2026-03-07 11:53:40.709228
166,Arena,21.36,4,1,Science_Fiction,2026-03-07 11:53:40.709545
167,Foundation (Foundation (Publication Order) #1),32.42,1,1,Science_Fiction,2026-03-07 11:53:40.709813
168,The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),10.92,1,1,Science_Fiction,2026-03-07 11:53:40.710082
169,Ready Player One,19.07,4,1,Science_Fiction,2026-03-07 11:53:40.710356
170,"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",33.26,2,1,Science_Fiction,2026-03-07 11:53:40.710629
171,Dune (Dune #1),54.86,1,1,Science_Fiction,2026-03-07 11:53:40.710890
172,Do Androids Dream of Electric Sheep? (Blade Runner #1),51.48,1,1,Science_Fiction,2026-03-07 11:53:40.711420
173,Three Wishes (River of Time: California #1),44.18,2,1,Science_Fiction,2026-03-07 11:53:40.712069
174,The Last Girl (The Dominion Trilogy #1),36.26,2,1,Science_Fiction,2026-03-07 11:53:40.712416
175,Having the Barbarian's Baby (Ice Planet Barbarians #7.5),34.96,4,1,Science_Fiction,2026-03-07 11:53:40.712723
176,Sapiens: A Brief History of Humankind,54.23,5,1,History,2026-03-07 11:53:41.529489
177,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1,1,History,2026-03-07 11:53:41.532613
178,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,1,1,History,2026-03-07 11:53:41.533168
179,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,2,1,History,2026-03-07 11:53:41.533549
180,Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,1,1,History,2026-03-07 11:53:41.533892
181,Zealot: The Life and Times of Jesus of Nazareth,24.7,3,1,History,2026-03-07 11:53:41.534258
182,A Distant Mirror: The Calamitous 14th Century,14.58,3,1,History,2026-03-07 11:53:41.534592
183,1491: New Revelations of the Americas Before Columbus,21.8,3,1,History,2026-03-07 11:53:41.534956
184,Brilliant Beacons: A History of the American Lighthouse,11.45,3,1,History,2026-03-07 11:53:41.535444
185,"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",44.48,5,1,History,2026-03-07 11:53:41.535949
186,A Short History of Nearly Everything,52.4,5,1,History,2026-03-07 11:53:41.536421
187,The Rise and Fall of the Third Reich: A History of Nazi Germany,39.67,2,1,History,2026-03-07 11:53:41.536859
188,Catherine the Great: Portrait of a Woman,58.55,4,1,History,2026-03-07 11:53:41.537297
189,The Mathews Men: Seven Brothers and the War Against Hitler's U-boats,42.91,5,1,History,2026-03-07 11:53:41.537736
190,The Hiding Place,55.91,4,1,History,2026-03-07 11:53:41.538283
191,America's War for the Greater Middle East: A Military History,51.22,2,1,History,2026-03-07 11:53:41.538985
192,The Guns of August,14.54,2,1,History,2026-03-07 11:53:41.539588
193,"House of Lost Worlds: Dinosaurs, Dynasties, and the Story of Life on Earth",43.7,2,1,History,2026-03-07 11:53:41.539958
194,Birdsong: A Story in Pictures,54.64,3,1,Childrens,2026-03-07 11:53:42.258267
195,The Bear and the Piano,36.89,1,1,Childrens,2026-03-07 11:53:42.261247
196,The Secret of Dreadwillow Carse,56.13,1,1,Childrens,2026-03-07 11:53:42.261663
197,The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,58.08,4,1,Childrens,2026-03-07 11:53:42.261932
198,Little Red,13.47,3,1,Childrens,2026-03-07 11:53:42.262203
199,Walt Disney's Alice in Wonderland,12.96,5,1,Childrens,2026-03-07 11:53:42.262482
200,Twenty Yawns,22.08,2,1,Childrens,2026-03-07 11:53:42.262744
201,Rain Fish,23.57,3,1,Childrens,2026-03-07 11:53:42.263003
202,Once Was a Time,18.28,2,1,Childrens,2026-03-07 11:53:42.263261
203,Luis Paints the World,53.95,3,1,Childrens,2026-03-07 11:53:42.263533
204,Nap-a-Roo,25.08,1,1,Childrens,2026-03-07 11:53:42.263795
205,The Whale,35.96,4,1,Childrens,2026-03-07 11:53:42.264055
206,"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",52.87,3,1,Childrens,2026-03-07 11:53:42.264315
207,Raymie Nightingale,34.41,2,1,Childrens,2026-03-07 11:53:42.264584
208,Playing from the Heart,32.38,1,1,Childrens,2026-03-07 11:53:42.264845
209,Maybe Something Beautiful: How Art Transformed a Neighborhood,22.54,1,1,Childrens,2026-03-07 11:53:42.265102
210,The Wild Robot,56.07,3,1,Childrens,2026-03-07 11:53:42.265362
211,The Thing About Jellyfish,48.77,1,1,Childrens,2026-03-07 11:53:42.265626
212,The Lonely Ones,43.59,5,1,Childrens,2026-03-07 11:53:42.265885
213,The Day the Crayons Came Home (Crayons),26.33,5,1,Childrens,2026-03-07 11:53:42.266223
214,The Cat in the Hat (Beginner Books B-1),16.26,2,1,Childrens,2026-03-07 11:53:43.154678
215,Red: The True Story of Red Riding Hood,28.54,3,1,Childrens,2026-03-07 11:53:43.157404
216,Horrible Bear!,37.52,2,1,Childrens,2026-03-07 11:53:43.157697
217,Green Eggs and Ham (Beginner Books B-16),10.79,4,1,Childrens,2026-03-07 11:53:43.157967
218,Counting Thyme,10.62,1,1,Childrens,2026-03-07 11:53:43.158348
219,Are We There Yet?,10.66,3,1,Childrens,2026-03-07 11:53:43.158636
220,Diary of a Minecraft Zombie Book 1: A Scare of a Dare (An Unofficial Minecraft Book),52.88,4,1,Childrens,2026-03-07 11:53:43.158904
221,Matilda,28.34,1,1,Childrens,2026-03-07 11:53:43.159176
222,Charlie and the Chocolate Factory (Charlie Bucket #1),22.85,3,1,Childrens,2026-03-07 11:53:43.159436
223,The Book of Basketball: The NBA According to The Sports Guy,44.84,5,1,Sports_And_Games,2026-03-07 11:55:48.311184
224,"Friday Night Lights: A Town, a Team, and a Dream",51.22,3,1,Sports_And_Games,2026-03-07 11:55:48.313058
225,Sugar Rush (Offensive Line #2),24.42,1,1,Sports_And_Games,2026-03-07 11:55:48.313398
226,Settling the Score (The Summer Games #1),44.91,2,1,Sports_And_Games,2026-03-07 11:55:48.313745
227,Icing (Aces Hockey #2),40.44,4,1,Sports_And_Games,2026-03-07 11:55:48.314081
228,It's Only the Himalayas,45.17,2,1,Travel,2026-03-07 11:55:48.966791
229,Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,4,1,Travel,2026-03-07 11:55:48.970017
230,See America: A Celebration of Our National Parks & Treasured Sites,48.87,3,1,Travel,2026-03-07 11:55:48.970587
231,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,2,1,Travel,2026-03-07 11:55:48.971046
232,Under the Tuscan Sun,37.33,3,1,Travel,2026-03-07 11:55:48.971602
233,A Summer In Europe,44.34,2,1,Travel,2026-03-07 11:55:48.972043
234,The Great Railway Bazaar,30.54,1,1,Travel,2026-03-07 11:55:48.972518
235,A Year in Provence (Provence #1),56.88,4,1,Travel,2026-03-07 11:55:48.972953
236,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,1,1,Travel,2026-03-07 11:55:48.973378
237,Neither Here nor There: Travels in Europe,38.95,3,1,Travel,2026-03-07 11:55:48.973801
238,"1,000 Places to See Before You Die",26.08,5,1,Travel,2026-03-07 11:55:48.974218
239,Sharp Objects,47.82,4,1,Mystery,2026-03-07 11:55:49.605745
240,"In a Dark, Dark Wood",19.63,1,1,Mystery,2026-03-07 11:55:49.609036
241,The Past Never Ends,56.5,4,1,Mystery,2026-03-07 11:55:49.609570
242,A Murder in Time,16.64,1,1,Mystery,2026-03-07 11:55:49.610080
243,The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4,1,Mystery,2026-03-07 11:55:49.610586
244,The Last Mile (Amos Decker #2),54.21,2,1,Mystery,2026-03-07 11:55:49.611077
245,That Darkness (Gardiner and Renner #1),13.92,1,1,Mystery,2026-03-07 11:55:49.611576
246,Tastes Like Fear (DI Marnie Rome #3),10.69,1,1,Mystery,2026-03-07 11:55:49.612062
247,A Time of Torment (Charlie Parker #14),48.35,5,1,Mystery,2026-03-07 11:55:49.612550
248,A Study in Scarlet (Sherlock Holmes #1),16.73,2,1,Mystery,2026-03-07 11:55:49.613022
249,Poisonous (Max Revere Novels #3),26.8,3,1,Mystery,2026-03-07 11:55:49.613491
250,Murder at the 42nd Street Library (Raymond Ambler #1),54.36,4,1,Mystery,2026-03-07 11:55:49.613968
251,Most Wanted,35.28,3,1,Mystery,2026-03-07 11:55:49.614447
252,Hide Away (Eve Duncan #20),11.84,1,1,Mystery,2026-03-07 11:55:49.614916
253,Boar Island (Anna Pigeon #19),59.48,3,1,Mystery,2026-03-07 11:55:49.615388
254,The Widow,27.26,2,1,Mystery,2026-03-07 11:55:49.615849
255,Playing with Fire,13.71,3,1,Mystery,2026-03-07 11:55:49.616331
256,What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,5,1,Mystery,2026-03-07 11:55:49.616812
257,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5,1,Mystery,2026-03-07 11:55:49.617600
258,Delivering the Truth (Quaker Midwife Mystery #1),20.89,4,1,Mystery,2026-03-07 11:55:49.618098
259,The Mysterious Affair at Styles (Hercule Poirot #1),24.8,4,1,Mystery,2026-03-07 11:55:50.448212
260,In the Woods (Dublin Murder Squad #1),38.38,2,1,Mystery,2026-03-07 11:55:50.451534
261,The Silkworm (Cormoran Strike #2),23.05,5,1,Mystery,2026-03-07 11:55:50.452080
262,The Exiled,43.45,3,1,Mystery,2026-03-07 11:55:50.452596
263,The Cuckoo's Calling (Cormoran Strike #1),19.21,1,1,Mystery,2026-03-07 11:55:50.453081
264,Extreme Prey (Lucas Davenport #26),25.4,3,1,Mystery,2026-03-07 11:55:50.453571
265,Career of Evil (Cormoran Strike #3),24.72,2,1,Mystery,2026-03-07 11:55:50.454051
266,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,4,1,Mystery,2026-03-07 11:55:50.454524
267,The Girl You Lost,12.29,5,1,Mystery,2026-03-07 11:55:50.454992
268,The Girl In The Ice (DCI Erika Foster #1),15.85,3,1,Mystery,2026-03-07 11:55:50.455469
269,Blood Defense (Samantha Brinkman #1),20.3,3,1,Mystery,2026-03-07 11:55:50.455930
270,1st to Die (Women's Murder Club #1),53.98,1,1,Mystery,2026-03-07 11:55:50.456400
271,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,1,Science_Fiction,2026-03-07 11:55:51.258895
272,Join,35.67,5,1,Science_Fiction,2026-03-07 11:55:51.260655
273,"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,4,1,Science_Fiction,2026-03-07 11:55:51.261160
274,The Project,10.65,1,1,Science_Fiction,2026-03-07 11:55:51.261622
275,Soft Apocalypse,26.12,2,1,Science_Fiction,2026-03-07 11:55:51.262089
276,Sleeping Giants (Themis Files #1),48.74,1,1,Science_Fiction,2026-03-07 11:55:51.262578
277,Arena,21.36,4,1,Science_Fiction,2026-03-07 11:55:51.263041
278,Foundation (Foundation (Publication Order) #1),32.42,1,1,Science_Fiction,2026-03-07 11:55:51.263506
279,The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),10.92,1,1,Science_Fiction,2026-03-07 11:55:51.263971
